@relation 'White-TailedDeerWithMonths - Sheet1'

@attribute VegetationType {'Upland Forest','Riparian Grassland','Riparian Forest',Grassland/Prairie,'Mowed Lawn','Outside Park','Upland Scrub',Crop,'Riparian Scrub',Other,Savanna}
@attribute Month numeric
@attribute AvgTempinFahrenheit numeric
@attribute AvgHumidityInPercent numeric
@attribute WeatherCondition {'No rain','No rain to Heavy rain difficult to hear',Snow,'No rain to Snow','Mist or fog','Mist or fog to No rain','Mist or fog to Light rain','No rain to Light rain','Light rain to Mist or fog','Light rain','Light drizzle to Light rain','No rain to Light drizzle','No rain to Mist or fog','Snow to No rain','Light drizzle to No rain','Light rain to Light drizzle','Light drizzle','Light rain to No rain','Light drizzle to Mist or fog','Mist or fog to Light drizzle'}
@attribute AvgCloudCover numeric
@attribute DeerTotal numeric

@data
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.9,55.9,'No rain',97.5,32
Grassland/Prairie,3,50.9,55.9,'No rain',97.5,32
Grassland/Prairie,3,50.9,55.9,'No rain',97.5,32
Grassland/Prairie,3,50.9,55.9,'No rain',97.5,32
'Riparian Grassland',3,50.9,55.9,'No rain',97.5,32
'Riparian Grassland',3,50.9,55.9,'No rain',97.5,32
Grassland/Prairie,3,50.9,55.9,'No rain',97.5,32
Grassland/Prairie,3,50.9,55.9,'No rain',97.5,32
Grassland/Prairie,3,50.9,55.9,'No rain',97.5,32
Grassland/Prairie,3,50.45,70.6,'No rain to Heavy rain difficult to hear',97.5,34
Grassland/Prairie,3,50.45,70.6,'No rain to Heavy rain difficult to hear',97.5,34
Grassland/Prairie,3,50.45,70.6,'No rain to Heavy rain difficult to hear',97.5,34
'Riparian Grassland',3,50.45,70.6,'No rain to Heavy rain difficult to hear',97.5,34
'Upland Forest',3,36.59,60.6,'No rain',0,32
Grassland/Prairie,3,36.59,60.6,'No rain',0,32
Grassland/Prairie,3,36.59,60.6,'No rain',0,32
Grassland/Prairie,3,36.59,60.6,'No rain',0,32
Grassland/Prairie,3,36.59,60.6,'No rain',0,32
'Riparian Forest',3,36.59,60.6,'No rain',0,32
'Riparian Grassland',3,36.59,60.6,'No rain',0,32
Grassland/Prairie,3,36.59,60.6,'No rain',0,32
Grassland/Prairie,3,36.59,60.6,'No rain',0,32
Grassland/Prairie,3,36.59,60.6,'No rain',0,32
'Riparian Forest',3,59.54,47.45,'No rain',37.5,7
'Riparian Forest',3,59.54,47.45,'No rain',37.5,7
Grassland/Prairie,3,46.22,67.25,'No rain',0,24
Grassland/Prairie,3,46.22,67.25,'No rain',0,24
Grassland/Prairie,3,46.22,67.25,'No rain',0,24
Grassland/Prairie,3,46.22,67.25,'No rain',0,24
'Riparian Grassland',3,46.22,67.25,'No rain',0,24
Grassland/Prairie,3,46.22,67.25,'No rain',0,24
Grassland/Prairie,3,46.22,67.25,'No rain',0,24
Grassland/Prairie,3,46.22,67.25,'No rain',0,24
Grassland/Prairie,3,46.22,67.25,'No rain',0,24
Grassland/Prairie,3,46.04,67.4,'No rain',0,15
Grassland/Prairie,3,46.04,67.4,'No rain',0,15
Grassland/Prairie,3,46.04,67.4,'No rain',0,15
Grassland/Prairie,3,46.04,67.4,'No rain',0,15
'Riparian Grassland',3,50.45,70.6,'No rain to Heavy rain difficult to hear',97.5,34
'Riparian Grassland',3,50.45,70.6,'No rain to Heavy rain difficult to hear',97.5,34
Grassland/Prairie,3,50.45,70.6,'No rain to Heavy rain difficult to hear',97.5,34
Grassland/Prairie,3,50.45,70.6,'No rain to Heavy rain difficult to hear',97.5,34
Grassland/Prairie,3,50.45,70.6,'No rain to Heavy rain difficult to hear',97.5,34
'Riparian Forest',3,61.7,48.95,'No rain',85,3
'Upland Forest',3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
'Upland Forest',3,54.68,19.6,'No rain',15,6
'Riparian Grassland',3,54.68,19.6,'No rain',15,6
'Upland Forest',3,54.68,19.6,'No rain',15,6
'Upland Forest',3,44.96,42.85,'No rain',0,33
Grassland/Prairie,3,44.96,42.85,'No rain',0,33
Grassland/Prairie,3,44.96,42.85,'No rain',0,33
Grassland/Prairie,3,44.96,42.85,'No rain',0,33
'Riparian Forest',3,44.96,42.85,'No rain',0,33
'Riparian Grassland',3,44.96,42.85,'No rain',0,33
'Riparian Grassland',3,44.96,42.85,'No rain',0,33
'Riparian Grassland',3,44.96,42.85,'No rain',0,33
Grassland/Prairie,3,44.96,42.85,'No rain',0,33
Grassland/Prairie,3,44.96,42.85,'No rain',0,33
'Upland Forest',3,55.58,39.45,'No rain',15,19
'Upland Forest',3,55.58,39.45,'No rain',15,19
'Upland Forest',3,55.58,39.45,'No rain',15,19
'Upland Forest',3,55.58,39.45,'No rain',15,19
'Upland Forest',3,55.58,39.45,'No rain',15,19
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
'Upland Forest',3,67.37,32.5,'No rain',0,64
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
'Riparian Forest',3,58.91,57.85,'No rain',0,22
'Mowed Lawn',3,58.91,57.85,'No rain',0,22
'Riparian Forest',3,58.91,57.85,'No rain',0,22
'Mowed Lawn',3,58.91,57.85,'No rain',0,22
'Mowed Lawn',3,58.91,57.85,'No rain',0,22
'Mowed Lawn',3,58.91,57.85,'No rain',0,22
'Riparian Forest',3,56.12,68.05,'No rain',0,19
'Mowed Lawn',3,56.12,68.05,'No rain',0,19
'Riparian Forest',3,56.12,68.05,'No rain',0,19
'Riparian Forest',3,56.12,68.05,'No rain',0,19
'Riparian Forest',3,56.12,68.05,'No rain',0,19
'Riparian Forest',3,56.12,68.05,'No rain',0,19
Grassland/Prairie,3,56.12,68.05,'No rain',0,19
'Riparian Forest',3,56.12,68.05,'No rain',0,19
'Riparian Forest',3,55.31,69.7,'No rain',0,31
'Mowed Lawn',3,55.31,69.7,'No rain',0,31
Grassland/Prairie,3,55.31,69.7,'No rain',0,31
'Mowed Lawn',3,55.31,69.7,'No rain',0,31
'Riparian Forest',3,55.31,69.7,'No rain',0,31
'Riparian Forest',3,67.19,50.65,'No rain',15,7
'Outside Park',3,66.38,45.35,'No rain',1,28
'Riparian Forest',3,66.38,45.35,'No rain',1,28
'Mowed Lawn',3,66.38,45.35,'No rain',1,28
'Mowed Lawn',3,66.38,45.35,'No rain',1,28
'Outside Park',3,66.74,42.6,'No rain',15,25
Grassland/Prairie,3,50.36,38.35,'No rain',37.5,35
'Upland Forest',3,50.36,38.35,'No rain',37.5,35
Grassland/Prairie,3,50.36,38.35,'No rain',37.5,35
'Upland Forest',3,50.36,38.35,'No rain',37.5,35
'Upland Forest',3,50.36,38.35,'No rain',37.5,35
Grassland/Prairie,3,50.36,38.35,'No rain',37.5,35
Grassland/Prairie,3,50.36,38.35,'No rain',37.5,35
'Mowed Lawn',3,50.36,38.35,'No rain',37.5,35
'Mowed Lawn',3,50.36,38.35,'No rain',37.5,35
'Upland Forest',3,49.73,37.15,'No rain',0,22
Grassland/Prairie,3,49.73,37.15,'No rain',0,22
'Upland Forest',3,49.73,37.15,'No rain',0,22
Grassland/Prairie,3,49.73,37.15,'No rain',0,22
'Upland Forest',3,49.73,37.15,'No rain',0,22
Grassland/Prairie,3,49.73,37.15,'No rain',0,22
Grassland/Prairie,3,49.73,37.15,'No rain',0,22
Grassland/Prairie,3,49.55,34.45,'No rain',15,21
'Upland Forest',3,49.55,34.45,'No rain',15,21
Grassland/Prairie,3,49.55,34.45,'No rain',15,21
Grassland/Prairie,3,49.55,34.45,'No rain',15,21
Grassland/Prairie,3,49.55,34.45,'No rain',15,21
'Upland Forest',3,49.55,34.45,'No rain',15,21
Grassland/Prairie,3,49.55,34.45,'No rain',15,21
'Mowed Lawn',3,49.55,34.45,'No rain',15,21
'Upland Forest',3,50,27.7,'No rain',2.5,12
'Upland Forest',3,50,27.7,'No rain',2.5,12
'Upland Forest',3,50,27.7,'No rain',2.5,12
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
'Mowed Lawn',3,67.37,32.5,'No rain',0,64
'Upland Forest',3,60.8,33.65,'No rain',0,50
'Upland Forest',3,55.58,39.45,'No rain',15,19
'Upland Forest',3,55.94,34.4,'No rain',62.5,13
'Upland Forest',3,55.94,34.4,'No rain',62.5,13
'Upland Forest',3,55.94,34.4,'No rain',62.5,13
'Upland Forest',3,55.94,34.4,'No rain',62.5,13
'Upland Forest',3,57.29,34.95,'No rain',85,20
'Upland Forest',3,57.29,34.95,'No rain',85,20
'Upland Forest',3,57.29,34.95,'No rain',85,20
'Upland Forest',3,57.29,34.95,'No rain',85,20
'Upland Forest',3,57.29,34.95,'No rain',85,20
'Upland Forest',3,57.29,34.95,'No rain',85,20
'Upland Forest',3,57.29,34.95,'No rain',85,20
'Upland Forest',3,57.29,34.95,'No rain',85,20
Grassland/Prairie,3,50.36,38.35,'No rain',37.5,35
'Upland Forest',3,50.36,38.35,'No rain',37.5,35
'Upland Forest',3,52.52,29.15,'No rain',15,11
'Upland Forest',3,52.52,29.15,'No rain',15,11
'Upland Forest',3,52.52,29.15,'No rain',15,11
'Upland Forest',3,55.22,28.35,'No rain',37.5,11
'Upland Forest',3,55.22,28.35,'No rain',37.5,11
'Upland Forest',3,55.22,28.35,'No rain',37.5,11
'Upland Forest',3,55.22,28.35,'No rain',37.5,11
'Upland Forest',3,53.24,29.7,'No rain',0,46
Grassland/Prairie,3,53.24,29.7,'No rain',0,46
Grassland/Prairie,3,53.24,29.7,'No rain',0,46
Grassland/Prairie,3,53.24,29.7,'No rain',0,46
Grassland/Prairie,3,53.24,29.7,'No rain',0,46
Grassland/Prairie,3,53.24,29.7,'No rain',0,46
'Upland Forest',3,53.24,29.7,'No rain',0,46
'Upland Forest',3,53.24,29.7,'No rain',0,46
'Upland Forest',3,53.24,29.7,'No rain',0,46
Grassland/Prairie,3,53.24,29.7,'No rain',0,46
Grassland/Prairie,3,53.24,29.7,'No rain',0,46
Grassland/Prairie,3,53.15,29.5,'No rain',0,41
Grassland/Prairie,3,53.15,29.5,'No rain',0,41
Grassland/Prairie,3,53.15,29.5,'No rain',0,41
Grassland/Prairie,3,53.15,29.5,'No rain',0,41
Grassland/Prairie,3,53.15,29.5,'No rain',0,41
'Upland Forest',3,53.15,29.5,'No rain',0,41
'Upland Forest',3,53.15,29.5,'No rain',0,41
'Upland Forest',3,53.15,29.5,'No rain',0,41
'Upland Forest',3,53.15,29.5,'No rain',0,41
Grassland/Prairie,3,53.15,29.5,'No rain',0,41
Grassland/Prairie,3,52.79,29.1,'No rain',0,29
Grassland/Prairie,3,52.79,29.1,'No rain',0,29
Grassland/Prairie,3,52.79,29.1,'No rain',0,29
Grassland/Prairie,3,52.79,29.1,'No rain',0,29
Grassland/Prairie,3,52.79,29.1,'No rain',0,29
'Upland Forest',3,52.79,29.1,'No rain',0,29
'Mowed Lawn',3,52.79,29.1,'No rain',0,29
'Upland Forest',3,70.97,24.05,'No rain',1,4
'Upland Forest',3,70.97,24.05,'No rain',1,4
'Upland Forest',3,84.47,18.1,'No rain',0,3
'Upland Forest',3,80.33,17,'No rain',0,7
'Upland Forest',3,80.33,17,'No rain',0,7
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
'Upland Forest',3,67.37,32.5,'No rain',0,64
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
Grassland/Prairie,3,67.37,32.5,'No rain',0,64
'Upland Forest',3,60.8,33.65,'No rain',0,50
'Upland Forest',3,60.8,33.65,'No rain',0,50
'Upland Forest',3,60.8,33.65,'No rain',0,50
Grassland/Prairie,3,60.8,33.65,'No rain',0,50
Grassland/Prairie,3,60.8,33.65,'No rain',0,50
'Upland Forest',3,60.8,33.65,'No rain',0,50
'Upland Forest',3,60.8,33.65,'No rain',0,50
Grassland/Prairie,3,60.8,33.65,'No rain',0,50
Grassland/Prairie,3,60.8,33.65,'No rain',0,50
Grassland/Prairie,3,60.8,33.65,'No rain',0,50
Grassland/Prairie,3,60.8,33.65,'No rain',0,50
Grassland/Prairie,3,60.8,33.65,'No rain',0,50
'Upland Forest',3,60.8,33.65,'No rain',0,50
'Upland Forest',3,60.8,33.65,'No rain',0,50
'Mowed Lawn',3,60.8,33.65,'No rain',0,50
'Upland Forest',3,54.86,40.25,'No rain',0,52
'Upland Forest',3,54.86,40.25,'No rain',0,52
'Upland Forest',3,54.86,40.25,'No rain',0,52
Grassland/Prairie,3,54.86,40.25,'No rain',0,52
Grassland/Prairie,3,54.86,40.25,'No rain',0,52
'Upland Forest',3,54.86,40.25,'No rain',0,52
Grassland/Prairie,3,54.86,40.25,'No rain',0,52
Grassland/Prairie,3,54.86,40.25,'No rain',0,52
Grassland/Prairie,3,54.86,40.25,'No rain',0,52
Grassland/Prairie,3,54.86,40.25,'No rain',0,52
'Upland Forest',3,54.86,40.25,'No rain',0,52
'Upland Forest',3,54.86,40.25,'No rain',0,52
'Upland Forest',3,54.86,40.25,'No rain',0,52
'Upland Forest',3,54.86,40.25,'No rain',0,52
'Upland Forest',3,54.86,40.25,'No rain',0,52
'Riparian Forest',3,66.74,42.6,'No rain',15,25
'Riparian Forest',3,66.74,42.6,'No rain',15,25
'Riparian Forest',3,66.74,42.6,'No rain',15,25
'Mowed Lawn',3,66.74,42.6,'No rain',15,25
'Mowed Lawn',3,66.74,42.6,'No rain',15,25
'Outside Park',3,64.4,51.95,'No rain',2.5,30
'Riparian Forest',3,64.4,51.95,'No rain',2.5,30
'Riparian Forest',3,64.4,51.95,'No rain',2.5,30
'Riparian Forest',3,64.4,51.95,'No rain',2.5,30
'Mowed Lawn',3,64.4,51.95,'No rain',2.5,30
'Mowed Lawn',3,64.4,51.95,'No rain',2.5,30
'Mowed Lawn',3,64.4,51.95,'No rain',2.5,30
'Mowed Lawn',3,73.58,67.5,'No rain',1,24
'Mowed Lawn',3,73.58,67.5,'No rain',1,24
'Riparian Forest',3,73.58,67.5,'No rain',1,24
'Mowed Lawn',3,73.58,67.5,'No rain',1,24
'Mowed Lawn',3,73.58,67.5,'No rain',1,24
Grassland/Prairie,3,73.58,67.5,'No rain',1,24
'Mowed Lawn',3,73.58,67.5,'No rain',1,24
'Mowed Lawn',3,73.58,67.5,'No rain',1,24
'Mowed Lawn',3,72.32,71.25,'No rain',15,26
'Mowed Lawn',3,72.32,71.25,'No rain',15,26
'Mowed Lawn',3,72.32,71.25,'No rain',15,26
'Mowed Lawn',3,72.32,71.25,'No rain',15,26
Grassland/Prairie,3,72.32,71.25,'No rain',15,26
Grassland/Prairie,3,72.32,71.25,'No rain',15,26
'Riparian Forest',3,72.32,71.25,'No rain',15,26
'Mowed Lawn',3,70.34,78.35,'No rain',2.5,28
'Mowed Lawn',3,70.34,78.35,'No rain',2.5,28
'Mowed Lawn',3,70.34,78.35,'No rain',2.5,28
Grassland/Prairie,3,70.34,78.35,'No rain',2.5,28
'Riparian Forest',3,70.34,78.35,'No rain',2.5,28
'Mowed Lawn',3,70.34,78.35,'No rain',2.5,28
'Mowed Lawn',1,57.02,59.9,'No rain',0,7
'Mowed Lawn',1,57.02,59.9,'No rain',0,7
'Riparian Forest',1,55.94,58.65,'No rain',0,9
'Riparian Forest',1,55.94,58.65,'No rain',0,9
'Riparian Forest',1,55.94,58.65,'No rain',0,9
'Mowed Lawn',1,55.94,58.65,'No rain',0,9
'Riparian Forest',1,56.57,55.6,'No rain',0,17
'Riparian Forest',1,56.57,55.6,'No rain',0,17
'Riparian Forest',1,56.57,55.6,'No rain',0,17
'Riparian Forest',1,56.57,55.6,'No rain',0,17
'Riparian Forest',1,56.57,55.6,'No rain',0,17
'Riparian Forest',1,56.57,55.6,'No rain',0,17
'Riparian Forest',1,56.57,55.6,'No rain',0,17
'Mowed Lawn',1,59.27,49.2,'No rain',62.5,6
'Riparian Forest',1,59.27,49.2,'No rain',62.5,6
'Riparian Forest',1,59.27,49.2,'No rain',62.5,6
'Mowed Lawn',1,58.73,50.2,'No rain',62.5,7
'Mowed Lawn',1,58.73,50.2,'No rain',62.5,7
'Riparian Forest',1,58.64,48.95,'No rain',62.5,16
'Riparian Forest',1,58.64,48.95,'No rain',62.5,16
'Mowed Lawn',1,58.64,48.95,'No rain',62.5,16
'Riparian Forest',1,58.64,48.95,'No rain',62.5,16
'Riparian Forest',1,58.64,48.95,'No rain',62.5,16
'Riparian Forest',1,58.64,48.95,'No rain',62.5,16
'Riparian Forest',1,58.64,48.95,'No rain',62.5,16
'Riparian Forest',1,50.09,42.2,'No rain',2.5,14
'Riparian Forest',1,50.09,42.2,'No rain',2.5,14
'Riparian Forest',1,50.09,42.2,'No rain',2.5,14
'Riparian Forest',1,50.09,42.2,'No rain',2.5,14
'Mowed Lawn',1,50.09,42.2,'No rain',2.5,14
'Riparian Forest',1,49.1,43,'No rain',1,9
'Riparian Forest',1,49.1,43,'No rain',1,9
'Riparian Forest',1,49.1,43,'No rain',1,9
'Riparian Forest',1,49.1,43,'No rain',1,9
'Upland Forest',1,34.88,47.15,'No rain',85,21
'Upland Forest',1,34.88,47.15,'No rain',85,21
'Upland Forest',1,34.88,47.15,'No rain',85,21
Grassland/Prairie,1,34.88,47.15,'No rain',85,21
Grassland/Prairie,1,34.88,47.15,'No rain',85,21
Grassland/Prairie,1,34.88,47.15,'No rain',85,21
'Upland Forest',1,34.88,47.15,'No rain',85,21
'Upland Forest',1,34.88,47.15,'No rain',85,21
Grassland/Prairie,1,57.56,19.1,'No rain',85,49
'Upland Forest',1,57.56,19.1,'No rain',85,49
'Upland Forest',1,57.56,19.1,'No rain',85,49
Grassland/Prairie,1,57.56,19.1,'No rain',85,49
Grassland/Prairie,1,57.56,19.1,'No rain',85,49
'Upland Forest',1,57.56,19.1,'No rain',85,49
'Upland Forest',1,57.56,19.1,'No rain',85,49
'Upland Forest',1,57.56,19.1,'No rain',85,49
Grassland/Prairie,1,57.56,19.1,'No rain',85,49
'Upland Scrub',1,57.56,19.1,'No rain',85,49
Grassland/Prairie,1,57.56,19.1,'No rain',85,49
'Upland Forest',1,57.56,19.1,'No rain',85,49
'Upland Forest',1,57.56,19.1,'No rain',85,49
'Upland Forest',1,57.56,19.1,'No rain',85,49
'Upland Forest',1,57.56,19.1,'No rain',85,49
'Upland Forest',1,57.56,19.1,'No rain',85,49
Grassland/Prairie,1,57.56,19.1,'No rain',85,49
Grassland/Prairie,1,59.18,59.25,'No rain',37.5,40
'Upland Forest',1,59.18,59.25,'No rain',37.5,40
'Upland Forest',1,59.18,59.25,'No rain',37.5,40
'Upland Forest',1,59.18,59.25,'No rain',37.5,40
'Upland Forest',1,59.18,59.25,'No rain',37.5,40
'Upland Forest',1,59.18,59.25,'No rain',37.5,40
Grassland/Prairie,1,59.18,59.25,'No rain',37.5,40
Grassland/Prairie,1,59.18,59.25,'No rain',37.5,40
Grassland/Prairie,1,59.18,59.25,'No rain',37.5,40
'Upland Scrub',1,59.18,59.25,'No rain',37.5,40
Grassland/Prairie,1,59.18,59.25,'No rain',37.5,40
Grassland/Prairie,1,59.18,59.25,'No rain',37.5,40
'Upland Forest',1,59.18,59.25,'No rain',37.5,40
'Upland Forest',1,59.18,59.25,'No rain',37.5,40
'Upland Forest',1,59.18,59.25,'No rain',37.5,40
'Upland Forest',1,59.18,59.25,'No rain',37.5,40
Grassland/Prairie,1,59.18,59.25,'No rain',37.5,40
Grassland/Prairie,1,59.18,59.25,'No rain',37.5,40
Grassland/Prairie,1,59.18,59.25,'No rain',37.5,40
'Riparian Forest',1,58.19,67.2,'No rain',85,16
Grassland/Prairie,1,58.19,67.2,'No rain',85,16
Grassland/Prairie,1,58.19,67.2,'No rain',85,16
Grassland/Prairie,1,58.19,67.2,'No rain',85,16
Grassland/Prairie,1,58.19,67.2,'No rain',85,16
Grassland/Prairie,1,58.19,67.2,'No rain',85,16
Grassland/Prairie,1,58.19,67.2,'No rain',85,16
'Upland Forest',1,37.31,53.2,'No rain',0,22
Grassland/Prairie,1,37.31,53.2,'No rain',0,22
Grassland/Prairie,1,37.31,53.2,'No rain',0,22
'Upland Forest',1,37.31,53.2,'No rain',0,22
'Upland Forest',1,37.31,53.2,'No rain',0,22
'Upland Forest',1,37.31,53.2,'No rain',0,22
Grassland/Prairie,1,37.31,53.2,'No rain',0,22
'Upland Forest',1,30.2,64.65,'No rain',97.5,10
'Upland Forest',1,30.2,64.65,'No rain',97.5,10
'Upland Forest',1,30.2,64.65,'No rain',97.5,10
'Upland Forest',1,30.2,64.65,'No rain',97.5,10
Grassland/Prairie,1,30.2,64.65,'No rain',97.5,10
Grassland/Prairie,1,30.2,64.65,'No rain',97.5,10
'Upland Forest',1,30.2,64.65,'No rain',97.5,10
'Upland Scrub',1,37.49,69.75,'No rain',0,25
'Upland Forest',1,37.49,69.75,'No rain',0,25
Grassland/Prairie,1,37.49,69.75,'No rain',0,25
Grassland/Prairie,1,37.49,69.75,'No rain',0,25
'Upland Forest',1,37.49,69.75,'No rain',0,25
Grassland/Prairie,1,37.49,69.75,'No rain',0,25
Grassland/Prairie,1,37.49,69.75,'No rain',0,25
Grassland/Prairie,1,37.49,69.75,'No rain',0,25
Grassland/Prairie,1,41.27,47,'No rain',1.75,17
Grassland/Prairie,1,41.27,47,'No rain',1.75,17
'Upland Forest',1,41.27,47,'No rain',1.75,17
'Upland Forest',1,41.27,47,'No rain',1.75,17
'Upland Forest',1,41.27,47,'No rain',1.75,17
Grassland/Prairie,1,41.27,47,'No rain',1.75,17
Grassland/Prairie,1,41.27,47,'No rain',1.75,17
Grassland/Prairie,1,41.27,47,'No rain',1.75,17
Grassland/Prairie,1,41.27,47,'No rain',1.75,17
'Riparian Forest',2,26.96,61.6,Snow,97.5,10
'Riparian Forest',2,26.96,61.6,Snow,97.5,10
'Upland Forest',2,26.96,61.6,Snow,97.5,10
Grassland/Prairie,2,21.83,65.7,'No rain',26.25,23
Grassland/Prairie,2,21.83,65.7,'No rain',26.25,23
'Upland Scrub',2,21.83,65.7,'No rain',26.25,23
Grassland/Prairie,2,21.83,65.7,'No rain',26.25,23
Grassland/Prairie,2,21.83,65.7,'No rain',26.25,23
'Riparian Grassland',2,21.83,65.7,'No rain',26.25,23
Grassland/Prairie,2,21.83,65.7,'No rain',26.25,23
Grassland/Prairie,2,21.83,65.7,'No rain',26.25,23
Grassland/Prairie,2,21.83,65.7,'No rain',26.25,23
Grassland/Prairie,2,19.04,62.9,Snow,38.75,8
'Upland Scrub',2,19.04,62.9,Snow,38.75,8
'Upland Scrub',2,19.04,62.9,Snow,38.75,8
'Mowed Lawn',2,61.52,74.9,'No rain',0,5
'Mowed Lawn',2,61.52,74.9,'No rain',0,5
'Mowed Lawn',2,57.83,39.15,'No rain',8.75,14
'Mowed Lawn',2,57.83,39.15,'No rain',8.75,14
'Mowed Lawn',2,57.83,39.15,'No rain',8.75,14
'Upland Forest',1,32.27,33.55,'No rain',7.5,27
Crop,1,32.27,33.55,'No rain',7.5,27
Grassland/Prairie,1,32.27,33.55,'No rain',7.5,27
'Upland Forest',1,32.27,33.55,'No rain',7.5,27
'Upland Forest',1,32.27,33.55,'No rain',7.5,27
'Upland Forest',1,32.27,33.55,'No rain',7.5,27
'Riparian Scrub',1,32.27,33.55,'No rain',7.5,27
Grassland/Prairie,1,32.27,33.55,'No rain',7.5,27
Crop,1,32.27,33.55,'No rain',7.5,27
Grassland/Prairie,1,32.27,33.55,'No rain',7.5,27
'Upland Scrub',1,32.27,33.55,'No rain',7.5,27
'Upland Scrub',1,32.27,33.55,'No rain',7.5,27
'Riparian Scrub',1,32.36,35.55,'No rain',0,11
'Upland Scrub',1,32.36,35.55,'No rain',0,11
Grassland/Prairie,1,32.36,35.55,'No rain',0,11
Grassland/Prairie,1,32.36,35.55,'No rain',0,11
'Upland Scrub',1,32.36,35.55,'No rain',0,11
'Upland Scrub',1,31.64,37.5,'No rain',0,13
Grassland/Prairie,1,31.64,37.5,'No rain',0,13
Grassland/Prairie,1,31.64,37.5,'No rain',0,13
Grassland/Prairie,1,31.64,37.5,'No rain',0,13
'Upland Scrub',1,31.64,37.5,'No rain',0,13
'Upland Scrub',1,31.64,37.5,'No rain',0,13
'Upland Scrub',1,36.86,67.7,'No rain',97.5,12
Grassland/Prairie,1,36.86,67.7,'No rain',97.5,12
'Riparian Scrub',1,36.86,67.7,'No rain',97.5,12
'Riparian Forest',1,36.86,67.7,'No rain',97.5,12
